City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
211,Dawei,MM,85.42,overcast clouds,14.0833,98.2,Hotel Dawei
212,Malindi,KE,75.79,overcast clouds,-3.2175,40.1191,African House Resort
216,Nabire,ID,86.27,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
217,Soc Trang,VN,80.56,overcast clouds,9.6033,105.98,Phu Quy Hotel
218,Townsville,AU,83.28,overcast clouds,-19.25,146.8,Rydges Southbank Townsville
224,Ugoofaaru,MV,81.07,overcast clouds,5.6667,73.0,Ungoofaaru Inn
234,Caravelas,BR,75.09,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
236,Santa Maria,BR,72.7,clear sky,-29.6842,-53.8069,Hotel Morotin
239,Canutama,BR,71.13,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
240,Bathurst,AU,74.71,scattered clouds,-33.4166,149.5806,Bathurst Motor Inn
241,Makakilo City,US,80.92,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
248,Sur,OM,70.45,clear sky,22.5667,59.5289,Sur Plaza Hotel
249,Harper,LR,78.49,light rain,4.375,-7.7169,Screensaver
255,Sidney,AU,77.34,broken clouds,-33.8679,151.2073,The Grace Sydney
256,Broken Hill,AU,80.31,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
258,Cockburn Town,TC,76.08,clear sky,21.4612,-71.1419,Osprey Beach Hotel
280,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
282,Marawi,PH,74.64,broken clouds,7.9986,124.2928,Derogongan Residence
294,Cururupu,BR,74.68,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
298,Nicoya,CR,76.55,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
303,Manggar,ID,82.26,overcast clouds,-2.8833,108.2667,Guest Hotel
308,Bajil,YE,73.72,broken clouds,15.0584,43.2851,فندق حضرموت
311,Domoni,KM,79.29,overcast clouds,-12.2569,44.5319,Al Djadid
312,Nhulunbuy,AU,88.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
314,Bontang,ID,83.93,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
315,Sao Joao Da Barra,BR,76.73,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
316,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
317,Wukari,NG,70.18,clear sky,7.85,9.7833,Elimtop
